 gmid0.5         ft0.5          
 2.46023601e+01  8.66219317e+01 
 2.49047849e+01  1.13271482e+02 
 2.51650239e+01  1.48240946e+02 
 2.53907352e+01  1.94161098e+02 
 2.55882977e+01  2.54504025e+02 
 2.57629639e+01  3.33854922e+02 
 2.59190136e+01  4.38272504e+02 
 2.60599074e+01  5.75767158e+02 
 2.61884287e+01  7.56935620e+02 
 2.63068061e+01  9.95803832e+02 
 2.64168198e+01  1.31094678e+03 
 2.65198878e+01  1.72697706e+03 
 2.66171399e+01  2.27652443e+03 
 2.67094750e+01  3.00286961e+03 
 2.67976102e+01  3.96344994e+03 
 2.68821179e+01  5.23452776e+03 
 2.69634564e+01  6.91740956e+03 
 2.70419944e+01  9.14673477e+03 
 2.71180295e+01  1.21015272e+04 
 2.71918033e+01  1.60199362e+04 
 2.72635134e+01  2.12189063e+04 
 2.73333223e+01  2.81204346e+04 
 2.74013647e+01  3.72866326e+04 
 2.74677531e+01  4.94665632e+04 
 2.75325819e+01  6.56588272e+04 
 2.75959305e+01  8.71952206e+04 
 2.76578660e+01  1.15852587e+05 
 2.77184443e+01  1.54002404e+05 
 2.77777115e+01  2.04810870e+05 
 2.78357040e+01  2.72506580e+05 
 2.78924482e+01  3.62738625e+05 
 2.79479597e+01  4.83055648e+05 
 2.80022419e+01  6.43546571e+05 
 2.80552829e+01  8.57697220e+05 
 2.81070522e+01  1.14353486e+06 
 2.81574956e+01  1.52515593e+06 
 2.82065280e+01  2.03476230e+06 
 2.82540239e+01  2.71536986e+06 
 2.82998048e+01  3.62440116e+06 
 2.83436223e+01  4.83843153e+06 
 2.83851346e+01  6.45942482e+06 
 2.84238772e+01  8.62286374e+06 
 2.84592219e+01  1.15082387e+07 
 2.84903250e+01  1.53523801e+07 
 2.85160575e+01  2.04660524e+07 
 2.85349167e+01  2.72539876e+07 
 2.85449115e+01  3.62379945e+07 
 2.85434196e+01  4.80817418e+07 
 2.85270130e+01  6.36140993e+07 
 2.84912542e+01  8.38453935e+07 
 2.84304745e+01  1.09967835e+08 
 2.83375609e+01  1.43328662e+08 
 2.82038072e+01  1.85364350e+08 
 2.80189180e+01  2.37489738e+08 
 2.77712957e+01  3.00949767e+08 
 2.74487587e+01  3.76662107e+08 
 2.70398033e+01  4.65097056e+08 
 2.65353793e+01  5.66241505e+08 
 2.59309050e+01  6.79667351e+08 
 2.52279879e+01  8.04681358e+08 
 2.44352214e+01  9.40500183e+08 
 2.35676442e+01  1.08639273e+09 
 2.26449277e+01  1.24175867e+09 
 2.16888240e+01  1.40614476e+09 
 2.07206073e+01  1.57922017e+09 
 1.97590979e+01  1.76073484e+09 
 1.88195270e+01  1.95047829e+09 
 1.79131977e+01  2.14824702e+09 
 1.70477197e+01  2.35382301e+09 
 1.62275638e+01  2.56696159e+09 
 1.54547284e+01  2.78738649e+09 
 1.47293845e+01  3.01478960e+09 
 1.40504324e+01  3.24883340e+09 
 1.34159449e+01  3.48915474e+09 
 1.28235030e+01  3.73536920e+09 
 1.22704385e+01  3.98707539e+09 
 1.17540021e+01  4.24385898e+09 
