 gmid0.5         gain0.5        
 2.46023601e+01  5.60887789e+01 
 2.49047849e+01  5.67901224e+01 
 2.51650239e+01  5.73449394e+01 
 2.53907352e+01  5.77812161e+01 
 2.55882977e+01  5.81225766e+01 
 2.57629639e+01  5.83885631e+01 
 2.59190136e+01  5.85950936e+01 
 2.60599074e+01  5.87549784e+01 
 2.61884287e+01  5.88784301e+01 
 2.63068061e+01  5.89735298e+01 
 2.64168198e+01  5.90466343e+01 
 2.65198878e+01  5.91027194e+01 
 2.66171399e+01  5.91456650e+01 
 2.67094750e+01  5.91784863e+01 
 2.67976102e+01  5.92035205e+01 
 2.68821179e+01  5.92225745e+01 
 2.69634564e+01  5.92370426e+01 
 2.70419944e+01  5.92479987e+01 
 2.71180295e+01  5.92562685e+01 
 2.71918033e+01  5.92624857e+01 
 2.72635134e+01  5.92671360e+01 
 2.73333223e+01  5.92705909e+01 
 2.74013647e+01  5.92731339e+01 
 2.74677531e+01  5.92749809e+01 
 2.75325819e+01  5.92762954e+01 
 2.75959305e+01  5.92772009e+01 
 2.76578660e+01  5.92777897e+01 
 2.77184443e+01  5.92781293e+01 
 2.77777115e+01  5.92782684e+01 
 2.78357040e+01  5.92782396e+01 
 2.78924482e+01  5.92780623e+01 
 2.79479597e+01  5.92777442e+01 
 2.80022419e+01  5.92772817e+01 
 2.80552829e+01  5.92766595e+01 
 2.81070522e+01  5.92758496e+01 
 2.81574956e+01  5.92748087e+01 
 2.82065280e+01  5.92734748e+01 
 2.82540239e+01  5.92717622e+01 
 2.82998048e+01  5.92695542e+01 
 2.83436223e+01  5.92666939e+01 
 2.83851346e+01  5.92629715e+01 
 2.84238772e+01  5.92581076e+01 
 2.84592219e+01  5.92517308e+01 
 2.84903250e+01  5.92433497e+01 
 2.85160575e+01  5.92323160e+01 
 2.85349167e+01  5.92177784e+01 
 2.85449115e+01  5.91986254e+01 
 2.85434196e+01  5.91734179e+01 
 2.85270130e+01  5.91403115e+01 
 2.84912542e+01  5.90969764e+01 
 2.84304745e+01  5.90405248e+01 
 2.83375609e+01  5.89674676e+01 
 2.82038072e+01  5.88737308e+01 
 2.80189180e+01  5.87547730e+01 
 2.77712957e+01  5.86058459e+01 
 2.74487587e+01  5.84224241e+01 
 2.70398033e+01  5.82007892e+01 
 2.65353793e+01  5.79386866e+01 
 2.59309050e+01  5.76359093e+01 
 2.52279879e+01  5.72946328e+01 
 2.44352214e+01  5.69193709e+01 
 2.35676442e+01  5.65165291e+01 
 2.26449277e+01  5.60936630e+01 
 2.16888240e+01  5.56586282e+01 
 2.07206073e+01  5.52188139e+01 
 1.97590979e+01  5.47805886e+01 
 1.88195270e+01  5.43490013e+01 
 1.79131977e+01  5.39277104e+01 
 1.70477197e+01  5.35190791e+01 
 1.62275638e+01  5.31243641e+01 
 1.54547284e+01  5.27439411e+01 
 1.47293845e+01  5.23775263e+01 
 1.40504324e+01  5.20243723e+01 
 1.34159449e+01  5.16834277e+01 
 1.28235030e+01  5.13534622e+01 
 1.22704385e+01  5.10331575e+01 
 1.17540021e+01  5.07211722e+01 
 1.12714752e+01  5.04161853e+01 
 1.08202411e+01  5.01169228e+01 
 1.03978266e+01  4.98221732e+01 
 1.00019234e+01  4.95307946e+01 
 9.63039671e+00  4.92417154e+01 
