 vgt0.5          gmid0.5        
-6.27970757e-01  2.46023601e+01 
-6.17994555e-01  2.49047849e+01 
-6.08019390e-01  2.51650239e+01 
-5.98045251e-01  2.53907352e+01 
-5.88072123e-01  2.55882977e+01 
-5.78099985e-01  2.57629639e+01 
-5.68128812e-01  2.59190136e+01 
-5.58158574e-01  2.60599074e+01 
-5.48189238e-01  2.61884287e+01 
-5.38220767e-01  2.63068061e+01 
-5.28253124e-01  2.64168198e+01 
-5.18286269e-01  2.65198878e+01 
-5.08320163e-01  2.66171399e+01 
-4.98354765e-01  2.67094750e+01 
-4.88390036e-01  2.67976102e+01 
-4.78425936e-01  2.68821179e+01 
-4.68462429e-01  2.69634564e+01 
-4.58499477e-01  2.70419944e+01 
-4.48537046e-01  2.71180295e+01 
-4.38575102e-01  2.71918033e+01 
-4.28613615e-01  2.72635134e+01 
-4.18652554e-01  2.73333223e+01 
-4.08691891e-01  2.74013647e+01 
-3.98731601e-01  2.74677531e+01 
-3.88771658e-01  2.75325819e+01 
-3.78812040e-01  2.75959305e+01 
-3.68852725e-01  2.76578660e+01 
-3.58893694e-01  2.77184443e+01 
-3.48934927e-01  2.77777115e+01 
-3.38976409e-01  2.78357040e+01 
-3.29018122e-01  2.78924482e+01 
-3.19060052e-01  2.79479597e+01 
-3.09102185e-01  2.80022419e+01 
-2.99144508e-01  2.80552829e+01 
-2.89187010e-01  2.81070522e+01 
-2.79229679e-01  2.81574956e+01 
-2.69272504e-01  2.82065280e+01 
-2.59315477e-01  2.82540239e+01 
-2.49358589e-01  2.82998048e+01 
-2.39401831e-01  2.83436223e+01 
-2.29445195e-01  2.83851346e+01 
-2.19488675e-01  2.84238772e+01 
-2.09532263e-01  2.84592219e+01 
-1.99575954e-01  2.84903250e+01 
-1.89619742e-01  2.85160575e+01 
-1.79663620e-01  2.85349167e+01 
-1.69707585e-01  2.85449115e+01 
-1.59751631e-01  2.85434196e+01 
-1.49795753e-01  2.85270130e+01 
-1.39839949e-01  2.84912542e+01 
-1.29884213e-01  2.84304745e+01 
-1.19928542e-01  2.83375609e+01 
-1.09972933e-01  2.82038072e+01 
-1.00017383e-01  2.80189180e+01 
-9.00618874e-02  2.77712957e+01 
-8.01064448e-02  2.74487587e+01 
-7.01510521e-02  2.70398033e+01 
-6.01957067e-02  2.65353793e+01 
-5.02404063e-02  2.59309050e+01 
-4.02851485e-02  2.52279879e+01 
-3.03299314e-02  2.44352214e+01 
-2.03747528e-02  2.35676442e+01 
-1.04196109e-02  2.26449277e+01 
-4.64503875e-04  2.16888240e+01 
 9.49056995e-03  2.07206073e+01 
 1.94456122e-02  1.97590979e+01 
 2.94006243e-02  1.88195270e+01 
 3.93556079e-02  1.79131977e+01 
 4.93105642e-02  1.70477197e+01 
 5.92654945e-02  1.62275638e+01 
 6.92204001e-02  1.54547284e+01 
 7.91752821e-02  1.47293845e+01 
 8.91301417e-02  1.40504324e+01 
 9.90849799e-02  1.34159449e+01 
 1.09039798e-01  1.28235030e+01 
 1.18994596e-01  1.22704385e+01 
 1.28949376e-01  1.17540021e+01 
 1.38904138e-01  1.12714752e+01 
 1.48858884e-01  1.08202411e+01 
 1.58813613e-01  1.03978266e+01 
 1.68768327e-01  1.00019234e+01 
 1.78723027e-01  9.63039671e+00 
 1.88677713e-01  9.28128416e+00 
 1.98632385e-01  8.95278995e+00 
 2.08587045e-01  8.64327554e+00 
 2.18541693e-01  8.35124873e+00 
 2.28496330e-01  8.07535209e+00 
 2.38450956e-01  7.81435147e+00 
 2.48405571e-01  7.56712480e+00 
 2.58360177e-01  7.33265168e+00 
 2.68314774e-01  7.11000359e+00 
 2.78269361e-01  6.89833499e+00 
 2.88223941e-01  6.69687519e+00 
 2.98178512e-01  6.50492100e+00 
 3.08133076e-01  6.32183006e+00 
 3.18087632e-01  6.14701493e+00 
 3.28042182e-01  5.97993771e+00 
 3.37996726e-01  5.82010521e+00 
 3.47951263e-01  5.66706471e+00 
 3.57905795e-01  5.52040007e+00 
 3.67860321e-01  5.37972827e+00 
 3.77814842e-01  5.24469634e+00 
 3.87769359e-01  5.11497857e+00 
 3.97723871e-01  4.99027400e+00 
 4.07678378e-01  4.87030423e+00 
 4.17632882e-01  4.75481134e+00 
 4.27587383e-01  4.64355615e+00 
 4.37541879e-01  4.53631650e+00 
 4.47496373e-01  4.43288586e+00 
 4.57450863e-01  4.33307194e+00 
 4.67405351e-01  4.23669552e+00 
 4.77359837e-01  4.14358934e+00 
 4.87314320e-01  4.05359714e+00 
 4.97268801e-01  3.96657272e+00 
 5.07223280e-01  3.88237918e+00 
 5.17177758e-01  3.80088816e+00 
 5.27132233e-01  3.72197915e+00 
 5.37086708e-01  3.64553892e+00 
 5.47041181e-01  3.57146094e+00 
 5.56995654e-01  3.49964487e+00 
 5.66950125e-01  3.42999613e+00 
 5.76904596e-01  3.36242542e+00 
 5.86859067e-01  3.29684840e+00 
 5.96813537e-01  3.23318529e+00 
 6.06768006e-01  3.17136059e+00 
 6.16722476e-01  3.11130273e+00 
 6.26676945e-01  3.05294385e+00 
 6.36631415e-01  2.99621953e+00 
 6.46585885e-01  2.94106855e+00 
 6.56540356e-01  2.88743271e+00 
 6.66494826e-01  2.83525662e+00 
 6.76449298e-01  2.78448751e+00 
 6.86403770e-01  2.73507509e+00 
 6.96358243e-01  2.68697139e+00 
 7.06312717e-01  2.64013062e+00 
 7.16267192e-01  2.59450904e+00 
 7.26221669e-01  2.55006483e+00 
 7.36176146e-01  2.50675802e+00 
 7.46130625e-01  2.46455032e+00 
 7.56085105e-01  2.42340510e+00 
 7.66039587e-01  2.38328724e+00 
 7.75994070e-01  2.34416308e+00 
 7.85948555e-01  2.30600036e+00 
 7.95903042e-01  2.26876808e+00 
 8.05857530e-01  2.23243652e+00 
 8.15812021e-01  2.19697711e+00 
 8.25766513e-01  2.16236242e+00 
 8.35721007e-01  2.12856606e+00 
 8.45675504e-01  2.09556267e+00 
 8.55630003e-01  2.06332784e+00 
 8.65584504e-01  2.03183810e+00 
 8.75539007e-01  2.00107083e+00 
 8.85493513e-01  1.97100427e+00 
