 gmid0.5         idw0.5         
 2.46023601e+01  1.18768890e-08 
 2.49047849e+01  1.52132813e-08 
 2.51650239e+01  1.95416804e-08 
 2.53907352e+01  2.51624887e-08 
 2.55882977e+01  3.24685079e-08 
 2.57629639e+01  4.19737369e-08 
 2.59190136e+01  5.43512685e-08 
 2.60599074e+01  7.04831678e-08 
 2.61884287e+01  9.15261667e-08 
 2.63068061e+01  1.18998244e-07 
 2.64168198e+01  1.54892789e-07 
 2.65198878e+01  2.01829244e-07 
 2.66171399e+01  2.63251958e-07 
 2.67094750e+01  3.43692870e-07 
 2.67976102e+01  4.49118651e-07 
 2.68821179e+01  5.87389747e-07 
 2.69634564e+01  7.68867698e-07 
 2.70419944e+01  1.00721902e-06 
 2.71180295e+01  1.32047984e-06 
 2.71918033e+01  1.73246655e-06 
 2.72635134e+01  2.27464586e-06 
 2.73333223e+01  2.98861503e-06 
 2.74013647e+01  3.92939290e-06 
 2.74677531e+01  5.16978892e-06 
 2.75325819e+01  6.80620570e-06 
 2.75959305e+01  8.96634896e-06 
 2.76578660e+01  1.18194762e-05 
 2.77184443e+01  1.55900262e-05 
 2.77777115e+01  2.05757504e-05 
 2.78357040e+01  2.71718455e-05 
 2.78924482e+01  3.59030818e-05 
 2.79479597e+01  4.74665950e-05 
 2.80022419e+01  6.27888955e-05 
 2.80552829e+01  8.31018449e-05 
 2.81070522e+01  1.10043931e-04 
 2.81574956e+01  1.45795292e-04 
 2.82065280e+01  1.93257765e-04 
 2.82540239e+01  2.56294962e-04 
 2.82998048e+01  3.40052371e-04 
 2.83436223e+01  4.51384053e-04 
 2.83851346e+01  5.99421135e-04 
 2.84238772e+01  7.96328680e-04 
 2.84592219e+01  1.05831220e-03 
 2.84903250e+01  1.40695398e-03 
 2.85160575e+01  1.87098310e-03 
 2.85349167e+01  2.48861258e-03 
 2.85449115e+01  3.31061136e-03 
 2.85434196e+01  4.40431785e-03 
 2.85270130e+01  5.85884017e-03 
 2.84912542e+01  7.79171726e-03 
 2.84304745e+01  1.03573199e-02 
 2.83375609e+01  1.37572208e-02 
 2.82038072e+01  1.82526225e-02 
 2.80189180e+01  2.41786419e-02 
 2.77712957e+01  3.19597753e-02 
 2.74487587e+01  4.21251862e-02 
 2.70398033e+01  5.53216832e-02 
 2.65353793e+01  7.23216221e-02 
 2.59309050e+01  9.40228951e-02 
 2.52279879e+01  1.21439028e-01 
 2.44352214e+01  1.55679257e-01 
 2.35676442e+01  1.97920778e-01 
 2.26449277e+01  2.49377222e-01 
 2.16888240e+01  3.11267965e-01 
 2.07206073e+01  3.84792061e-01 
 1.97590979e+01  4.71108807e-01 
 1.88195270e+01  5.71325224e-01 
 1.79131977e+01  6.86489438e-01 
 1.70477197e+01  8.17588449e-01 
 1.62275638e+01  9.65548739e-01 
 1.54547284e+01  1.13123847e+00 
 1.47293845e+01  1.31547039e+00 
 1.40504324e+01  1.51900489e+00 
 1.34159449e+01  1.74255292e+00 
 1.28235030e+01  1.98677858e+00 
 1.22704385e+01  2.25230145e+00 
 1.17540021e+01  2.53969852e+00 
 1.12714752e+01  2.84950593e+00 
 1.08202411e+01  3.18222036e+00 
 1.03978266e+01  3.53830036e+00 
 1.00019234e+01  3.91816747e+00 
 9.63039671e+00  4.32220718e+00 
 9.28128416e+00  4.75076991e+00 
 8.95278995e+00  5.20417187e+00 
 8.64327554e+00  5.68269584e+00 
 8.35124873e+00  6.18659202e+00 
 8.07535209e+00  6.71607877e+00 
 7.81435147e+00  7.27134336e+00 
 7.56712480e+00  7.85254277e+00 
 7.33265168e+00  8.45980441e+00 
 7.11000359e+00  9.09322691e+00 
 6.89833499e+00  9.75288088e+00 
 6.69687519e+00  1.04388097e+01 
 6.50492100e+00  1.11510303e+01 
 6.32183006e+00  1.18895340e+01 
 6.14701493e+00  1.26542874e+01 
 5.97993771e+00  1.34452328e+01 
 5.82010521e+00  1.42622898e+01 
 5.66706471e+00  1.51053555e+01 
 5.52040007e+00  1.59743055e+01 
 5.37972827e+00  1.68689950e+01 
 5.24469634e+00  1.77892596e+01 
 5.11497857e+00  1.87349162e+01 
 4.99027400e+00  1.97057636e+01 
 4.87030423e+00  2.07015840e+01 
 4.75481134e+00  2.17221433e+01 
 4.64355615e+00  2.27671924e+01 
 4.53631650e+00  2.38364680e+01 
 4.43288586e+00  2.49296933e+01 
 4.33307194e+00  2.60465793e+01 
 4.23669552e+00  2.71868253e+01 
 4.14358934e+00  2.83501198e+01 
 4.05359714e+00  2.95361417e+01 
 3.96657272e+00  3.07445607e+01 
 3.88237918e+00  3.19750383e+01 
 3.80088816e+00  3.32272287e+01 
 3.72197915e+00  3.45007794e+01 
 3.64553892e+00  3.57953320e+01 
 3.57146094e+00  3.71105230e+01 
 3.49964487e+00  3.84459843e+01 
 3.42999613e+00  3.98013443e+01 
 3.36242542e+00  4.11762280e+01 
 3.29684840e+00  4.25702581e+01 
 3.23318529e+00  4.39830551e+01 
 3.17136059e+00  4.54142383e+01 
 3.11130273e+00  4.68634263e+01 
 3.05294385e+00  4.83302372e+01 
 2.99621953e+00  4.98142892e+01 
 2.94106855e+00  5.13152012e+01 
 2.88743271e+00  5.28325932e+01 
 2.83525662e+00  5.43660864e+01 
 2.78448751e+00  5.59153040e+01 
 2.73507509e+00  5.74798712e+01 
 2.68697139e+00  5.90594156e+01 
 2.64013062e+00  6.06535676e+01 
 2.59450904e+00  6.22619607e+01 
 2.55006483e+00  6.38842315e+01 
 2.50675802e+00  6.55200200e+01 
 2.46455032e+00  6.71689701e+01 
 2.42340510e+00  6.88307293e+01 
 2.38328724e+00  7.05049495e+01 
